section,dataset,method,method_key,group,split_type,status,seeds,evidence,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std,artifact_path,metrics_file,manifest_config,reason
RQ1,Quo Vadis,EsCapturer-full legacy DSVDD,EsCapturer-full legacy DSVDD,escapturer,leakage-safe diagnostic,diagnostic,7/17/27,mean±std from complete artifact set,0.8542713567839196,0.007011205874859748,0.7335221353842165,0.024347062399873772,0.6771653543307087,0.04178919508685214,0.7029525926652896,0.018998366118662856,0.8727901927238854,0.012687633626784036,datasets_50k/quo_vadis/results/full_model/full/seed_17/metrics.json;datasets_50k/quo_vadis/results/full_model/full/seed_27/metrics.json;datasets_50k/quo_vadis/results/full_model/full/seed_7/metrics.json,datasets_50k/quo_vadis/results/full_model/full/seed_17/metrics.json;datasets_50k/quo_vadis/results/full_model/full/seed_27/metrics.json;datasets_50k/quo_vadis/results/full_model/full/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe but legacy five-unit configuration; not the repaired confirmatory model
RQ1,Quo Vadis,EsCapturer-full repaired,EsCapturer-full repaired,escapturer,confirmatory required,pending,7/17/27,[PENDING],,,,,,,,,,,,,,final repaired head/configuration not complete across three seeds
RQ1,Quo Vadis,EsCapturer-full repaired P2,P2 DSVDD repair diagnostic,escapturer,leakage-safe single-seed diagnostic,diagnostic,7,artifact/inventory,0.8562814070351759,,0.68561872909699,,0.8070866141732284,,0.7414104882459313,,0.9005865663553189,,datasets_50k/quo_vadis/results/full_model_repairs/p2_unit16_uniform_epoch_resample/full/seed_7/metrics.json,datasets_50k/quo_vadis/results/full_model_repairs/p2_unit16_uniform_epoch_resample/full/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,explicit single-seed repair diagnostic; validation-selected threshold; not a final three-seed result
RQ1,Quo Vadis,EsCapturer-full repaired P3a,P3a gating repair diagnostic,escapturer,leakage-safe single-seed diagnostic,diagnostic,7,artifact/inventory,0.8391959798994975,,0.6477987421383647,,0.8110236220472441,,0.7202797202797203,,0.8497933203693667,,datasets_50k/quo_vadis/results/full_model_repairs/p3a_gating_regularization/full/seed_7/metrics.json,datasets_50k/quo_vadis/results/full_model_repairs/p3a_gating_regularization/full/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,explicit single-seed repair diagnostic; validation-selected threshold; not a final three-seed result
RQ5,Quo Vadis,P3a view-weight audit,P3a view-weight audit,escapturer,leakage-safe single-seed diagnostic,diagnostic,7,artifact/inventory,,,,,,,0.7203,,,,datasets_50k/quo_vadis/results/full_model_repairs/p3a_gating_regularization/view_weight_analysis_seed_7.json,datasets_50k/quo_vadis/results/full_model_repairs/p3a_gating_regularization/view_weight_analysis_seed_7.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,single-seed gating interpretability audit; not final three-seed RQ5 evidence
RQ1,Quo Vadis,EsCapturer-full repaired P3b,P3b BCE repair diagnostic,escapturer,leakage-safe single-seed diagnostic,diagnostic,7,artifact/inventory,0.8854271356783919,,0.8153153153153153,,0.7125984251968503,,0.7605042016806722,,0.8974013622791079,,datasets_50k/quo_vadis/results/full_model_repairs/p3b_supervised_bce/full/seed_7/metrics.json,datasets_50k/quo_vadis/results/full_model_repairs/p3b_supervised_bce/full/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,explicit single-seed repair diagnostic; validation-selected threshold; not a final three-seed result
RQ1,Quo Vadis,API2Vec++,api2vecpp,sequence,preliminary binary-stratified,preliminary,7,artifact/inventory,0.9265333333333333,,0.9083482256829206,,0.9488,,0.9281335594104604,,0.9823943466666666,,datasets_50k/quo_vadis/results/api2vecpp_metrics.json,datasets_50k/quo_vadis/results/api2vecpp_metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,preliminary 50k binary-stratified split; retained only as diagnostic and excluded from confirmatory table
RQ1,Quo Vadis,API2Vec++,api2vecpp,sequence,leakage-safe required,pending,7/17/27,[PENDING],,,,,,,,,,,,,,no complete leakage-safe three-seed artifact found
RQ1,Quo Vadis,API-frequency LR,api_frequency_lr,simple,leakage-safe group/exact-sequence-disjoint,confirmatory,7/17/27,mean±std from complete artifact set,0.9005025125628142,1.1102230246251565e-16,0.8855721393034827,1.1102230246251565e-16,0.7007874015748031,0,0.7824175824175824,0,0.9066461580966347,0,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_lr/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
RQ1,Quo Vadis,API-frequency RF,api_frequency_rf,simple,leakage-safe group/exact-sequence-disjoint,confirmatory,7/17/27,mean±std from complete artifact set,0.9112227805695143,0.0023688669386483585,0.8456832420871546,0.007763013887552064,0.7979002624671917,0.0018559233102009088,0.8210820208886419,0.004113502858668858,0.9486710163253885,0.0002265850553061672,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_frequency_rf/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
RQ1,Quo Vadis,API-frequency XGBoost,api_frequency_xgboost,simple,leakage-safe required,pending,7/17/27,[PENDING],,,,,,,,,,,,,,xgboost installed but missing libomp runtime on this machine
RQ1,Quo Vadis,API n-gram LR,api_ngram_lr,simple,leakage-safe group/exact-sequence-disjoint,confirmatory,7/17/27,mean±std from complete artifact set,0.9045226130653267,0,0.8767772511848341,0,0.7283464566929134,0,0.7956989247311826,1.1102230246251565e-16,0.9370477222735824,1.1102230246251565e-16,datasets_50k/quo_vadis/results/standard_baselines/api_ngram_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_ngram_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_ngram_lr/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/api_ngram_lr/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_ngram_lr/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_ngram_lr/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
RQ1,Quo Vadis,API n-gram SVM,api_ngram_svm,simple,leakage-safe group/exact-sequence-disjoint,confirmatory,7/17/27,mean±std from complete artifact set,0.9105527638190954,0,0.8313253012048193,0,0.8149606299212598,0,0.8230616302186878,0,0.955893291678621,1.1102230246251565e-16,datasets_50k/quo_vadis/results/standard_baselines/api_ngram_svm/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_ngram_svm/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_ngram_svm/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/api_ngram_svm/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_ngram_svm/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/api_ngram_svm/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
RQ1,Quo Vadis,API n-gram XGBoost,api_ngram_xgboost,simple,leakage-safe required,pending,7/17/27,[PENDING],,,,,,,,,,,,,,xgboost installed but missing libomp runtime on this machine
RQ1,Quo Vadis,APILI adapted,apili_adapted,semantic,preliminary binary-stratified,preliminary,7,artifact/inventory,0.9386666666666666,,0.9370350690754516,,0.9405333333333333,,0.9387809422411498,,0.9869437511111111,,datasets_50k/quo_vadis/results/apili_adapted_metrics.json,datasets_50k/quo_vadis/results/apili_adapted_metrics.json,datasets_50k/quo_vadis/artifacts/apili_adapted/manifest.json;datasets_50k/quo_vadis/leakage_safe/manifest.json,preliminary 50k binary-stratified split; retained only as diagnostic and excluded from confirmatory table
RQ1,Quo Vadis,APILI adapted,apili_adapted,semantic,leakage-safe required,pending,7/17/27,[PENDING],,,,,,,,,,,,,,no complete leakage-safe three-seed artifact found
RQ1,Quo Vadis,DawnGNN reimplementation,dawngnn_reimpl,graph,preliminary binary-stratified,preliminary,7,artifact/inventory,0.8741333333333333,,0.8408649173955296,,0.9229333333333334,,0.8799898296465802,,0.9458021333333334,,datasets_50k/quo_vadis/results/dawngnn_reimpl_metrics.json,datasets_50k/quo_vadis/results/dawngnn_reimpl_metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,preliminary 50k binary-stratified split; retained only as diagnostic and excluded from confirmatory table
RQ1,Quo Vadis,DawnGNN reimplementation,dawngnn_reimpl,graph,leakage-safe required,pending,7/17/27,[PENDING],,,,,,,,,,,,,,no complete leakage-safe three-seed artifact found
RQ1,Quo Vadis,DeepCapa adapted,deepcapa_adapted,semantic,preliminary binary-stratified,preliminary,7,artifact/inventory,0.9649333333333333,,0.9693135935397039,,0.9602666666666667,,0.9647689216342934,,0.9952529422222223,,datasets_50k/quo_vadis/results/deepcapa_adapted_metrics.json,datasets_50k/quo_vadis/results/deepcapa_adapted_metrics.json,datasets_50k/quo_vadis/artifacts/deepcapa_adapted/len_512/manifest.json;datasets_50k/quo_vadis/leakage_safe/manifest.json,preliminary 50k binary-stratified split; retained only as diagnostic and excluded from confirmatory table
RQ1,Quo Vadis,DeepCapa adapted,deepcapa_adapted,semantic,leakage-safe required,pending,7/17/27,[PENDING],,,,,,,,,,,,,,no complete leakage-safe three-seed artifact found
RQ1,Quo Vadis,GAT,gat,graph,leakage-safe group/exact-sequence-disjoint,confirmatory,7/17/27,mean±std from complete artifact set,0.8978224455611391,0.004519510071434505,0.8552578068264344,0.024852014820808146,0.7230971128608924,0.008089782156127299,0.7833298968585577,0.0056291239645555454,0.9394005405194797,0.005312941796723933,datasets_50k/quo_vadis/results/graph_baselines/gat/seed_17/metrics.json;datasets_50k/quo_vadis/results/graph_baselines/gat/seed_27/metrics.json;datasets_50k/quo_vadis/results/graph_baselines/gat/seed_7/metrics.json,datasets_50k/quo_vadis/results/graph_baselines/gat/seed_17/metrics.json;datasets_50k/quo_vadis/results/graph_baselines/gat/seed_27/metrics.json;datasets_50k/quo_vadis/results/graph_baselines/gat/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
RQ1,Quo Vadis,GPT4-API-BERT-CNN,gpt4_api_bert_cnn,semantic,preliminary binary-stratified,check,7,artifact/inventory,0.9552,,0.9723298284449363,,0.9370666666666667,,0.9543726235741445,,0.9926256711111111,,datasets_50k/quo_vadis/results/gpt4_api_bert_cnn_metrics.json,datasets_50k/quo_vadis/results/gpt4_api_bert_cnn_metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,preliminary 50k binary-stratified split and detection threshold provenance absent; suspiciously high for confirmatory use
RQ1,Quo Vadis,GPT4-API-BERT-CNN,gpt4_api_bert_cnn,semantic,leakage-safe required,pending,7/17/27,[PENDING],,,,,,,,,,,,,,no complete leakage-safe three-seed artifact found
RQ1,Quo Vadis,GRU,gru,sequence,leakage-safe group/exact-sequence-disjoint,confirmatory,7/17/27,mean±std from complete artifact set,0.8850921273031825,0.00421098997989161,0.8527970412403842,0.037591114077760855,0.6679790026246719,0.023694842631585018,0.7479870621902648,0.0006784503042893463,0.8975758090967375,0.0026968452820954544,datasets_50k/quo_vadis/results/standard_baselines/gru/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/gru/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/gru/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/gru/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/gru/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/gru/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
RQ1,Quo Vadis,LSTM,lstm,sequence,leakage-safe group/exact-sequence-disjoint,confirmatory,7/17/27,mean±std from complete artifact set,0.8683417085427135,0.01827562036447018,0.8174445634435884,0.08427210533572838,0.6404199475065616,0.038752816431058816,0.7138592128542638,0.023945861652173866,0.8871125421063257,0.015738795990238898,datasets_50k/quo_vadis/results/standard_baselines/lstm/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/lstm/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/lstm/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/lstm/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/lstm/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/lstm/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
RQ1,Quo Vadis,MME fallback,mme_fallback,semantic,leakage-safe required,pending,7/17/27,[PENDING],,,,,,,,,,,,,,no complete leakage-safe three-seed artifact found
RQ1,Quo Vadis,MME TextCNN fallback,mme_textcnn_fallback,semantic,preliminary binary-stratified,preliminary,7,artifact/inventory,0.938,,0.9251876779704893,,0.9530666666666666,,0.9389202679626953,,0.9890301866666666,,datasets_50k/quo_vadis/results/mme_metrics.json,datasets_50k/quo_vadis/results/mme_metrics.json,datasets_50k/quo_vadis/artifacts/mme/manifest.json;datasets_50k/quo_vadis/leakage_safe/manifest.json,preliminary 50k binary-stratified split; retained only as diagnostic and excluded from confirmatory table
RQ1,Quo Vadis,Nebula,nebula,sequence,preliminary binary-stratified,preliminary,7,artifact/inventory,0.9113333333333333,,0.8915968519928916,,0.9365333333333333,,0.9135128105085186,,0.9707951644444445,,datasets_50k/quo_vadis/results/nebula_metrics.json,datasets_50k/quo_vadis/results/nebula_metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,preliminary 50k binary-stratified split; retained only as diagnostic and excluded from confirmatory table
RQ1,Quo Vadis,Nebula,nebula,sequence,leakage-safe report-group/exact-sequence-disjoint,single-seed,7,artifact/inventory,0.8653266331658291,,0.7654867256637168,,0.6811023622047244,,0.7208333333333333,,0.8943277333248324,,datasets_50k/quo_vadis/results/nebula/leakage_safe/seed_7/metrics.json,datasets_50k/quo_vadis/results/nebula/leakage_safe/seed_7/metrics.json,datasets_50k/quo_vadis/results/nebula/leakage_safe/seed_7/config.json;datasets_50k/quo_vadis/leakage_safe/manifest.json,data checksum matches leakage-safe manifest; validation-selected threshold 0.99; prediction counts match 994-record validation and 995-record test splits; config and prediction artifacts present
RQ1,Quo Vadis,Nebula,nebula,sequence,leakage-safe required,pending,17/27,[PENDING],,,,,,,,,,,,,,seed 7 usable; seeds 17 and 27 required before aggregation into Table VII
RQ1,Quo Vadis,Semantic TF-IDF/SGD prototype,ours,escapturer,preliminary binary-stratified,preliminary,7,artifact/inventory,0.9621333333333333,,0.9706681151548072,,0.9530666666666666,,0.9617868675995694,,0.99465856,,datasets_50k/quo_vadis/results/ours_metrics.json,datasets_50k/quo_vadis/results/ours_metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,preliminary 50k binary-stratified split; retained only as diagnostic and excluded from confirmatory table
RQ1,Quo Vadis,R-GCN,rgcn,graph,leakage-safe group/exact-sequence-disjoint,confirmatory,7/17/27,mean±std from complete artifact set,0.8991624790619767,0.0009475467754593851,0.8474828429577235,0.017769603015565367,0.7388451443569554,0.020415156412209996,0.7889847017619712,0.003999268822654355,0.9395369101129565,0.004608087382680687,datasets_50k/quo_vadis/results/graph_baselines/rgcn/seed_17/metrics.json;datasets_50k/quo_vadis/results/graph_baselines/rgcn/seed_27/metrics.json;datasets_50k/quo_vadis/results/graph_baselines/rgcn/seed_7/metrics.json,datasets_50k/quo_vadis/results/graph_baselines/rgcn/seed_17/metrics.json;datasets_50k/quo_vadis/results/graph_baselines/rgcn/seed_27/metrics.json;datasets_50k/quo_vadis/results/graph_baselines/rgcn/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
RQ1,Quo Vadis,Transformer,transformer,sequence,leakage-safe group/exact-sequence-disjoint,confirmatory,7/17/27,mean±std from complete artifact set,0.8760469011725293,0.0017082142424096373,0.8029290759228837,0.03286071504119926,0.6863517060367453,0.04070357590359797,0.7382606558132953,0.009863140395277435,0.9033236989101058,0.009796140744882068,datasets_50k/quo_vadis/results/standard_baselines/transformer/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/transformer/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/transformer/seed_7/metrics.json,datasets_50k/quo_vadis/results/standard_baselines/transformer/seed_17/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/transformer/seed_27/metrics.json;datasets_50k/quo_vadis/results/standard_baselines/transformer/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe artifact; seeds 7/17/27 complete; test threshold matches validation-selected threshold; prediction artifacts present
RQ3,Quo Vadis,w/o graph view,wo_graph_view,ablation,leakage-safe group/exact-sequence-disjoint,confirmatory,7/17/27,mean±std from complete artifact set,0.8241206030150753,0.011040038226656003,0.644928807648767,0.023716285901400267,0.6942257217847768,0.011289140770397128,0.6685434680973715,0.016916422309074017,0.8455906574431232,0.014848086769985284,datasets_50k/quo_vadis/results/ablation/wo_graph_view/seed_17/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_graph_view/seed_27/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_graph_view/seed_7/metrics.json,datasets_50k/quo_vadis/results/ablation/wo_graph_view/seed_17/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_graph_view/seed_27/metrics.json;datasets_50k/quo_vadis/results/ablation/wo_graph_view/seed_7/metrics.json,datasets_50k/quo_vadis/leakage_safe/manifest.json,leakage-safe ablation; seeds 7/17/27 complete; validation-selected threshold
