rq,dataset,fold,method,required_seed,available_seed,status,expected_artifact_path,command_hint,priority,split_type,reason
RQ5,Quo Vadis | Zenodo 11079764,all,Peak memory and parameter count,7,,pending,datasets_50k/{dataset}/results/efficiency_final_balanced/escapturer_full/seed_7/memory_model_profile.json,TODO: create or extend experiments/runners/run_rq5_efficiency_profile.py,P1,50k balanced efficiency profile,Final-model peak RSS or accelerator memory and parameter count are missing
RQ5,Quo Vadis | Zenodo 11079764,all,Semantic/template extraction timing,7,,pending,datasets_50k/{dataset}/results/efficiency_final_balanced/escapturer_full/seed_7/stage_profile.json,TODO: create or extend experiments/runners/run_rq5_efficiency_profile.py,P2,50k balanced stage-level profile,Quo Vadis first-5000-row and repair timing are diagnostic only; Zenodo missing
RQ5,Quo Vadis | Zenodo 11079764,all,Behavior-unit construction timing,7,,pending,datasets_50k/{dataset}/results/efficiency_final_balanced/escapturer_full/seed_7/stage_profile.json,TODO: create or extend experiments/runners/run_rq5_efficiency_profile.py,P2,50k balanced stage-level profile,Final ms per record retained units calls and coverage are missing
RQ5,Quo Vadis | Zenodo 11079764,all,Graph construction timing,7,,pending,datasets_50k/{dataset}/results/efficiency_final_balanced/escapturer_full/seed_7/stage_profile.json,TODO: create or extend experiments/runners/run_rq5_efficiency_profile.py,P2,50k balanced stage-level profile,Final ms per record and node edge statistics are missing
RQ5,Quo Vadis | Zenodo 11079764,all,Repeated timing with warm-up,7,,pending,datasets_50k/{dataset}/results/efficiency_final_balanced/escapturer_full/seed_7/repeated_timing.json,TODO: create or extend experiments/runners/run_rq5_efficiency_profile.py,P2,50k balanced repeated profile,Existing repair metrics contain one timing observation without controlled repetitions
RQ5,Quo Vadis | Zenodo 11079764,all,Serialized model and cache size,7,,pending,datasets_50k/{dataset}/results/efficiency_final_balanced/escapturer_full/seed_7/storage_profile.json,TODO: create or extend experiments/runners/run_rq5_efficiency_profile.py,P2,50k balanced storage profile,Repair checkpoint and cache bytes exist only as diagnostic Quo Vadis values
RQ5,Quo Vadis | Zenodo 11079764,all,Final EsCapturer-full profile,17/27,,pending,datasets_50k/{dataset}/results/efficiency_final_balanced/escapturer_full/seed_{seed}/metrics.json,TODO: create or extend experiments/runners/run_rq5_efficiency_profile.py,P3,50k balanced efficiency profile,Complete seed 7 first then profile seeds 17 and 27
RQ5,Quo Vadis | Zenodo 11079764,all,Leakage-safe audit profile,7/17/27,,pending,datasets_50k/{dataset}/results/efficiency_final_leakage_safe/escapturer_full/seed_{seed}/metrics.json,TODO: create or extend experiments/runners/run_rq5_efficiency_profile.py,P3,leakage-safe efficiency profile,Final repeated three-seed leakage-safe profile is missing
RQ5,Quo Vadis | Zenodo 11079764,all,API n-gram SVM | API2Vec++ or Transformer | R-GCN or GAT,7/17/27,,pending,datasets_50k/{dataset}/results/efficiency_baselines/{method}/seed_{seed}/metrics.json,TODO: create or extend experiments/runners/run_rq5_efficiency_profile.py,P3,balanced and leakage-safe baseline efficiency comparison,Comparable baseline timing memory and model-size profiles are missing
RQ6,Quo Vadis,all,Final EsCapturer-full view-weight audit,7,,pending,datasets_50k/quo_vadis/results/interpretability_final_balanced/escapturer_full/seed_7/view_weight_analysis.json,TODO: create or extend experiments/runners/run_rq6_interpretability.py,P1,50k balanced final-model interpretability,Only legacy and P3a leakage-safe diagnostics exist
RQ6,Zenodo 11079764,all,Final EsCapturer-full view-weight audit,7,,pending,datasets_50k/zenodo_11079764/results/interpretability_final_balanced/escapturer_full/seed_7/view_weight_analysis.json,TODO: create or extend experiments/runners/run_rq6_interpretability.py,P1,50k balanced final-model interpretability,No Zenodo view-weight artifact found
RQ6,Quo Vadis | Zenodo 11079764,all,Cij-conditioned graph-view weight distribution,7,,pending,datasets_50k/{dataset}/results/interpretability_final_balanced/escapturer_full/seed_7/view_weight_distribution.json,TODO: create or extend experiments/runners/run_rq6_interpretability.py,P1,50k balanced final-model interpretability,Final-model Cij=0/1 counts means medians and IQRs are missing
RQ6,Quo Vadis | Zenodo 11079764,all,Group-level bootstrap median difference,7,,pending,datasets_50k/{dataset}/results/interpretability_final_balanced/escapturer_full/seed_7/view_weight_statistics.json,TODO: create or extend experiments/runners/run_rq6_interpretability.py,P1,50k balanced report/SHA-grouped interpretability,Final-model group-level bootstrap interval is missing
RQ6,Quo Vadis | Zenodo 11079764,all,Paired sign-permutation test,7,,pending,datasets_50k/{dataset}/results/interpretability_final_balanced/escapturer_full/seed_7/view_weight_statistics.json,TODO: create or extend experiments/runners/run_rq6_interpretability.py,P1,50k balanced report/SHA-grouped interpretability,Final-model paired test is missing
RQ6,Quo Vadis | Zenodo 11079764,100-200 sampled behavior units,Two-annotator semantic extraction annotation,,,pending,datasets_50k/evidence_collector/rq6_annotation/semantic_extraction_annotation.csv,TODO: create annotation protocol and export sampled behavior units for two-annotator labeling,P2,annotation study,Sampling script and codebook exist but no completed labels or adjudication
RQ6,Quo Vadis | Zenodo 11079764,100-200 sampled behavior units,Extraction exact match macro F1 and Cohen kappa,,,pending,datasets_50k/evidence_collector/rq6_annotation/extraction_quality_summary.json,TODO: create annotation protocol and export sampled behavior units for two-annotator labeling,P2,annotation study,Requires independently completed annotator columns before scoring
RQ6,Quo Vadis | Zenodo 11079764,100-200 sampled behavior units,Supported-field coverage and fallback audit,,,pending,datasets_50k/evidence_collector/rq6_annotation/extraction_coverage_summary.json,TODO: create annotation protocol and export sampled behavior units for two-annotator labeling,P2,annotation study,No supported-field coverage or fallback-rate artifact found
RQ6,Quo Vadis | Zenodo 11079764,100-200 sampled behavior units,Extraction failure categories,,,pending,datasets_50k/evidence_collector/rq6_annotation/extraction_failure_cases.csv,TODO: create annotation protocol and export sampled behavior units for two-annotator labeling,P2,annotation study,No reviewed failure taxonomy or examples found
RQ6,Quo Vadis | Zenodo 11079764,all,Final EsCapturer-full view-weight audit,17/27,,pending,datasets_50k/{dataset}/results/interpretability_final_balanced/escapturer_full/seed_{seed}/view_weight_analysis.json,TODO: create or extend experiments/runners/run_rq6_interpretability.py,P3,50k balanced final-model interpretability,Complete seed 7 before seeds 17 and 27
RQ6,Quo Vadis | Zenodo 11079764,all,Leakage-safe final-model view-weight audit,7/17/27,,pending,datasets_50k/{dataset}/results/interpretability_final_leakage_safe/escapturer_full/seed_{seed}/view_weight_analysis.json,TODO: create or extend experiments/runners/run_rq6_interpretability.py,P3,leakage-safe final-model interpretability,No repaired final-model three-seed audit found
RQ6,Quo Vadis | Zenodo 11079764,selected cases,Attention heatmap and behavior-unit graph case study,,,pending,datasets_50k/{dataset}/results/interpretability_cases/case_studies.json,TODO: create or extend experiments/runners/run_rq6_interpretability.py,P3,qualitative interpretability,No paper-facing attention heatmap or behavior graph case artifact found
RQ6,Quo Vadis | Zenodo 11079764,error cases,Error-case interpretability examples,,,pending,datasets_50k/{dataset}/results/interpretability_cases/error_cases.json,TODO: create or extend experiments/runners/run_rq6_interpretability.py,P3,qualitative interpretability,Representative detector errors exist but no completed RQ6 interpretability analysis
RQ1,Quo Vadis / Zenodo 11079764,all,paired confirmatory statistical tests,7/17/27,,pending,,See project runner or create a scoped command before execution,P1,group-level paired tests,repaired full-model predictions are absent
RQ1,Quo Vadis,all,API-frequency XGBoost,7/17/27,,pending,,See project runner or create a scoped command before execution,P3,leakage-safe,no validated artifact; local OpenMP runtime is missing
RQ1,Quo Vadis,all,API n-gram XGBoost,7/17/27,,pending,,See project runner or create a scoped command before execution,P3,leakage-safe,no validated artifact; local OpenMP runtime is missing
RQ1,Zenodo 11079764,all,API-frequency XGBoost,7/17/27,,pending,,See project runner or create a scoped command before execution,P3,leakage-safe,no validated artifact; local OpenMP runtime is missing
RQ1,Zenodo 11079764,all,API n-gram XGBoost,7/17/27,,pending,,See project runner or create a scoped command before execution,P3,leakage-safe,no validated artifact; local OpenMP runtime is missing
RQ2,Quo Vadis,backdoor|ransomware|trojan|coinminer|dropper|keylogger|rat,EsCapturer-full,7,,pending,datasets_50k/quo_vadis/results/unknown_family/{fold}/escapturer_full/full/seed_7/metrics.json,escapture/.venv/bin/python experiments/runners/run_escapture_evaluation.py --data datasets_50k/quo_vadis/family_disjoint/quo_vadis_heldout_{fold}.jsonl.gz --out-dir datasets_50k/quo_vadis/results/unknown_family/{fold}/escapturer_full --experiment main --variant full --objective bce --max-units 16 --unit-selection uniform-cover --benign-sampling epoch-resample --seeds 7,P1,held-out category/family; group/exact-sequence-disjoint,Protocol folds exist; no trained seed-7 artifact found
RQ2,Quo Vadis,backdoor|ransomware|trojan|coinminer|dropper|keylogger|rat,API n-gram SVM,7,,pending,datasets_50k/quo_vadis/results/unknown_family/{fold}/traditional/api_ngram_svm/seed_7/metrics.json,escapture/.venv/bin/python experiments/runners/run_sequence_baselines.py --data datasets_50k/quo_vadis/family_disjoint/quo_vadis_heldout_{fold}.jsonl.gz --out-dir datasets_50k/quo_vadis/results/unknown_family/{fold}/traditional --models api_ngram_svm --seed 7,P1,held-out category/family; group/exact-sequence-disjoint,Protocol folds exist; no trained seed-7 artifact found
RQ2,Quo Vadis,backdoor|ransomware|trojan|coinminer|dropper|keylogger|rat,API2Vec++,7,,pending,datasets_50k/quo_vadis/results/unknown_family/{fold}/compact_baselines/api2vecpp_metrics.json,escapture/.venv/bin/python experiments/runners/run_compact_baselines.py --data datasets_50k/quo_vadis/family_disjoint/quo_vadis_heldout_{fold}.jsonl.gz --out-dir datasets_50k/quo_vadis/results/unknown_family/{fold}/compact_baselines --max-epochs 30 --patience 5,P2,held-out category/family; group/exact-sequence-disjoint,Protocol folds exist; no trained seed-7 artifact found
RQ2,Quo Vadis,backdoor|ransomware|trojan|coinminer|dropper|keylogger|rat,R-GCN,7,,pending,datasets_50k/quo_vadis/results/unknown_family/{fold}/graph/rgcn/seed_7/metrics.json,escapture/.venv/bin/python experiments/runners/run_graph_baselines.py --data datasets_50k/quo_vadis/family_disjoint/quo_vadis_heldout_{fold}.jsonl.gz --out-dir datasets_50k/quo_vadis/results/unknown_family/{fold}/graph --models rgcn --seed 7,P2,held-out category/family; group/exact-sequence-disjoint,Protocol folds exist; no trained seed-7 artifact found
RQ2,Quo Vadis,backdoor|ransomware|trojan|coinminer|dropper|keylogger|rat,EsCapturer-full | API n-gram SVM | API2Vec++ | R-GCN,17/27,,pending,datasets_50k/quo_vadis/results/unknown_family/{fold}/{method}/seed_{seed}/metrics.json,Repeat the verified seed-7 fold commands with seeds 17 and 27; keep fold-specific output directories,P3,held-out category/family; group/exact-sequence-disjoint,Three-seed mean and sample standard deviation required for final RQ2 evidence
RQ2,Zenodo 11079764,vobfus|urelas|soltern|vilsel|prepscram|eggnog|vflooder|nevereg|sfone,EsCapturer-full,7,,pending,datasets_50k/zenodo_11079764/results/unknown_family/{fold}/escapturer_full/full/seed_7/metrics.json,escapture/.venv/bin/python experiments/runners/run_escapture_evaluation.py --data datasets_50k/zenodo_11079764/family_disjoint/zenodo_11079764_heldout_{fold}.jsonl.gz --out-dir datasets_50k/zenodo_11079764/results/unknown_family/{fold}/escapturer_full --experiment main --variant full --objective bce --max-units 16 --unit-selection uniform-cover --benign-sampling epoch-resample --seeds 7,P1,held-out category/family; group/exact-sequence-disjoint,Protocol folds exist; no trained seed-7 artifact found
RQ2,Zenodo 11079764,vobfus|urelas|soltern|vilsel|prepscram|eggnog|vflooder|nevereg|sfone,API n-gram SVM,7,,pending,datasets_50k/zenodo_11079764/results/unknown_family/{fold}/traditional/api_ngram_svm/seed_7/metrics.json,escapture/.venv/bin/python experiments/runners/run_sequence_baselines.py --data datasets_50k/zenodo_11079764/family_disjoint/zenodo_11079764_heldout_{fold}.jsonl.gz --out-dir datasets_50k/zenodo_11079764/results/unknown_family/{fold}/traditional --models api_ngram_svm --seed 7,P1,held-out category/family; group/exact-sequence-disjoint,Protocol folds exist; no trained seed-7 artifact found
RQ2,Zenodo 11079764,vobfus|urelas|soltern|vilsel|prepscram|eggnog|vflooder|nevereg|sfone,API2Vec++,7,,pending,datasets_50k/zenodo_11079764/results/unknown_family/{fold}/compact_baselines/api2vecpp_metrics.json,escapture/.venv/bin/python experiments/runners/run_compact_baselines.py --data datasets_50k/zenodo_11079764/family_disjoint/zenodo_11079764_heldout_{fold}.jsonl.gz --out-dir datasets_50k/zenodo_11079764/results/unknown_family/{fold}/compact_baselines --max-epochs 30 --patience 5,P2,held-out category/family; group/exact-sequence-disjoint,Protocol folds exist; no trained seed-7 artifact found
RQ2,Zenodo 11079764,vobfus|urelas|soltern|vilsel|prepscram|eggnog|vflooder|nevereg|sfone,R-GCN,7,,pending,datasets_50k/zenodo_11079764/results/unknown_family/{fold}/graph/rgcn/seed_7/metrics.json,escapture/.venv/bin/python experiments/runners/run_graph_baselines.py --data datasets_50k/zenodo_11079764/family_disjoint/zenodo_11079764_heldout_{fold}.jsonl.gz --out-dir datasets_50k/zenodo_11079764/results/unknown_family/{fold}/graph --models rgcn --seed 7,P2,held-out category/family; group/exact-sequence-disjoint,Protocol folds exist; no trained seed-7 artifact found
RQ2,Zenodo 11079764,vobfus|urelas|soltern|vilsel|prepscram|eggnog|vflooder|nevereg|sfone,EsCapturer-full | API n-gram SVM | API2Vec++ | R-GCN,17/27,,pending,datasets_50k/zenodo_11079764/results/unknown_family/{fold}/{method}/seed_{seed}/metrics.json,Repeat the verified seed-7 fold commands with seeds 17 and 27; keep fold-specific output directories,P3,held-out category/family; group/exact-sequence-disjoint,Three-seed mean and sample standard deviation required for final RQ2 evidence
RQ4,Quo Vadis,insertion|deletion|local_reordering@10|20|30,EsCapturer-full,7,,pending,datasets_50k/quo_vadis/results/robustness_balanced/escapturer_full/{perturbation}_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P1,50k balanced clean-train/perturbed-test,No common-protocol robustness artifact or runner found
RQ4,Zenodo 11079764,insertion|deletion|local_reordering@10|20|30,EsCapturer-full,7,,pending,datasets_50k/zenodo_11079764/results/robustness_balanced/escapturer_full/{perturbation}_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P1,50k balanced clean-train/perturbed-test,No common-protocol robustness artifact or runner found
RQ4,Quo Vadis,insertion|deletion|local_reordering@10|20|30,API n-gram SVM,7,,pending,datasets_50k/quo_vadis/results/robustness_balanced/api_ngram_svm/{perturbation}_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P1,50k balanced clean-train/perturbed-test,No common-protocol robustness artifact or runner found
RQ4,Zenodo 11079764,insertion|deletion|local_reordering@10|20|30,API n-gram SVM,7,,pending,datasets_50k/zenodo_11079764/results/robustness_balanced/api_ngram_svm/{perturbation}_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P1,50k balanced clean-train/perturbed-test,No common-protocol robustness artifact or runner found
RQ4,Quo Vadis,insertion|deletion|local_reordering@10|20|30,API2Vec++ or Transformer,7,,pending,datasets_50k/quo_vadis/results/robustness_balanced/{method}/{perturbation}_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P2,50k balanced clean-train/perturbed-test,Sequence-representation robustness comparison is missing
RQ4,Zenodo 11079764,insertion|deletion|local_reordering@10|20|30,API2Vec++ or Transformer,7,,pending,datasets_50k/zenodo_11079764/results/robustness_balanced/{method}/{perturbation}_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P2,50k balanced clean-train/perturbed-test,Sequence-representation robustness comparison is missing
RQ4,Quo Vadis,insertion|deletion|local_reordering@10|20|30,R-GCN or GAT,7,,pending,datasets_50k/quo_vadis/results/robustness_balanced/{method}/{perturbation}_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P2,50k balanced clean-train/perturbed-test,Graph-baseline robustness comparison is missing
RQ4,Zenodo 11079764,insertion|deletion|local_reordering@10|20|30,R-GCN or GAT,7,,pending,datasets_50k/zenodo_11079764/results/robustness_balanced/{method}/{perturbation}_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P2,50k balanced clean-train/perturbed-test,Graph-baseline robustness comparison is missing
RQ4,Quo Vadis | Zenodo 11079764,insertion|deletion|local_reordering@10|20|30,w/o interleaving prior,7,,pending-prerequisite,datasets_50k/{dataset}/results/robustness_balanced/wo_interleaving_prior/{perturbation}_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P2,50k balanced clean-train/perturbed-test,Run only after a matched repaired final-model ablation checkpoint exists
RQ4,Quo Vadis | Zenodo 11079764,low_frequency_execution@10|20|30,EsCapturer-full | selected baselines,7,,pending-prerequisite,datasets_50k/{dataset}/results/robustness_balanced/{method}/low_frequency_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P3,50k balanced clean-train/perturbed-test,Requires a reliable malicious behavior-unit annotation or operational definition
RQ4,Quo Vadis | Zenodo 11079764,object_obfuscation@10|20|30,EsCapturer-full | selected baselines,7,,pending-prerequisite,datasets_50k/{dataset}/results/robustness_balanced/{method}/object_obfuscation_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P3,50k balanced clean-train/perturbed-test,Current artifacts expose API names but no argument or object fields
RQ4,Quo Vadis | Zenodo 11079764,insertion|deletion|local_reordering@10|20|30,all selected RQ4 methods,17/27,,pending,datasets_50k/{dataset}/results/robustness_balanced/{method}/{perturbation}_{intensity}/seed_{seed}/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P3,50k balanced clean-train/perturbed-test,Complete seed 7 first then report mean and sample standard deviation over seeds 7/17/27
RQ4,Quo Vadis | Zenodo 11079764,insertion|deletion|local_reordering@10|20|30,all selected RQ4 methods,7/17/27,,pending,datasets_50k/{dataset}/results/robustness_leakage_safe/{method}/{perturbation}_{intensity}/seed_{seed}/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P3,leakage-safe clean-train/perturbed-test,Extension after balanced-benchmark robustness is complete
